model,brand,product,product_parent,file_urls,type,ean,url,thumb,source
NVR-7710-24RD2-SMA-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/7710-24label.pdf,Etiqueta Energética,8427155023395,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-7711-24rd2-sma-n-copia/,https://nevir.es/wp-content/uploads/2021/07/7710-24frontal-600x417.jpg,nevir.es
NVR-8071-504K2S-SMA-N,Nevir,Tv Led 5050 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8071-50.pdf,Ficha,8427155023470,https://nevir.es/productos/televisores/tv-led-50/nvr-8071-504k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-50frontal-600x379.jpg,nevir.es
NVR-8071-504K2S-SMA-N,Nevir,Tv Led 5050 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8071-50manual.pdf,Manual de instrucciones,8427155023470,https://nevir.es/productos/televisores/tv-led-50/nvr-8071-504k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-50frontal-600x379.jpg,nevir.es
NVR-8071-504K2S-SMA-N,Nevir,Tv Led 5050 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8071-50label.pdf,Etiqueta Energética,8427155023470,https://nevir.es/productos/televisores/tv-led-50/nvr-8071-504k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-50frontal-600x379.jpg,nevir.es
NVR-8071-504K2S-SMA-N,Nevir,Tv Led 5050 ,Televisores ,https://nevir.es/wp-content/uploads/2021/10/USO-MOUSE-TV.pdf,USO MOUSE TV,8427155023470,https://nevir.es/productos/televisores/tv-led-50/nvr-8071-504k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8071-50frontal-600x379.jpg,nevir.es
NVR-8070-24RD2S-SMA-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/03/8075-32.pdf,Ficha,8427155023388,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-8070-24rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-24frontal-scaled-600x417.jpg,nevir.es
NVR-8070-24RD2S-SMA-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8070-24manual.pdf,Manual de Instrucciones,8427155023388,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-8070-24rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-24frontal-scaled-600x417.jpg,nevir.es
NVR-8070-24RD2S-SMA-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8070-24label.pdf,Etiqueta Energética,8427155023388,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-8070-24rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-24frontal-scaled-600x417.jpg,nevir.es
NVR-8070-24RD2S-SMA-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,https://nevir.es/wp-content/uploads/2021/10/USO-MOUSE-TV.pdf,USO MOUSE TV,8427155023388,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-8070-24rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8070-24frontal-scaled-600x417.jpg,nevir.es
NVR-1106CG,Nevir,Cafeteras ,Cocina ,http://nevir.imagar.com/wp-content/uploads/2021/08/1106manual.pdf,Manual de Instrucciones,8427155902324,https://nevir.es/productos/pae/cocina/cafeteras/nvr-1106cg/,https://nevir.es/wp-content/uploads/2021/08/1106-1-600x600.png,nevir.es
NVR-VP40R-B,Nevir,Ventilacion ,Climatizacion ,https://nevir.es/wp-content/uploads/simple-file-list/Manuales/VP40Rmanual.pdf,Manual de Instrucciones,8427155904632,https://nevir.es/productos/climatizacion/ventilacion/nvr-vp40r-b/,https://nevir.es/wp-content/uploads/2021/10/VPR40-B-600x600.png,nevir.es
NVR-VP40R-B,Nevir,Ventilacion ,Climatizacion ,https://nevir.es/wp-content/uploads/2021/10/VP40R-BT-B-BG.pdf,Ficha,8427155904632,https://nevir.es/productos/climatizacion/ventilacion/nvr-vp40r-b/,https://nevir.es/wp-content/uploads/2021/10/VPR40-B-600x600.png,nevir.es
NVR-7707-39RD2S-N,Nevir,Tv ,Descatalogados ,http://nevir.imagar.com/wp-content/uploads/2021/03/7707-39manual.pdf,Manual de instrucciones,8427155023210,https://nevir.es/productos/descatalogados/tv/nvr-8060-32rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/03/7707-39frontal-scaled-600x382.jpg,nevir.es
NVR-7707-39RD2S-N,Nevir,Tv ,Descatalogados ,http://nevir.imagar.com/wp-content/uploads/2021/03/7707-39.pdf,Ficha,8427155023210,https://nevir.es/productos/descatalogados/tv/nvr-8060-32rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/03/7707-39frontal-scaled-600x382.jpg,nevir.es
NVR-4550-IN 8K 1400B,Nevir,Lavadoras ,Gama Blanca ,http://nevir.imagar.com/wp-content/uploads/2021/08/4550manual.pdf,Manual de Instrucciones,8427155800989,https://nevir.es/productos/gama-blanca/lavadoras/nvr-4550-in-8k-1400b/,https://nevir.es/wp-content/uploads/2021/08/4550-10inverter-600x600.png,nevir.es
NVR-4550-IN 8K 1400B,Nevir,Lavadoras ,Gama Blanca ,http://nevir.imagar.com/wp-content/uploads/2021/08/4550-inverter.pdf,Ficha,8427155800989,https://nevir.es/productos/gama-blanca/lavadoras/nvr-4550-in-8k-1400b/,https://nevir.es/wp-content/uploads/2021/08/4550-10inverter-600x600.png,nevir.es
NVR-9509FH,Nevir,Calefaccion ,Climatizacion ,https://nevir.imagar.com/wp-content/uploads/simple-file-list/Manuales/9509manual.pdf,Manual de Instrucciones,8427155810094,https://nevir.es/productos/climatizacion/calefaccion/nvr-9509fh/,https://nevir.es/wp-content/uploads/2021/09/9509FH-600x600.png,nevir.es
NVR-9509FH,Nevir,Calefaccion ,Climatizacion ,http://nevir.imagar.com/wp-content/uploads/2021/09/9510-09.pdf,Ficha,8427155810094,https://nevir.es/productos/climatizacion/calefaccion/nvr-9509fh/,https://nevir.es/wp-content/uploads/2021/09/9509FH-600x600.png,nevir.es
NVR-8119BVM,Nevir,Batidoras ,Cocina ,http://nevir.imagar.com/wp-content/uploads/2021/08/8119manual.pdf,Manual de Instrucciones,8427155903956,https://nevir.es/productos/pae/cocina/batidoras/nvr-8119bvm/,https://nevir.es/wp-content/uploads/2021/08/8119-BVM-600x600.png,nevir.es
NVR-8119BVM,Nevir,Batidoras ,Cocina ,http://nevir.imagar.com/wp-content/uploads/2021/08/8119.pdf,Ficha,8427155903956,https://nevir.es/productos/pae/cocina/batidoras/nvr-8119bvm/,https://nevir.es/wp-content/uploads/2021/08/8119-BVM-600x600.png,nevir.es
NVR-4550-IN 9K 1400B,Nevir,Lavadoras ,Gama Blanca ,http://nevir.imagar.com/wp-content/uploads/2021/08/4550manual.pdf,Manual de Instrucciones,8427155800996,https://nevir.es/productos/gama-blanca/lavadoras/nvr-4550-in-9k-1400b/,https://nevir.es/wp-content/uploads/2021/08/4550-10inverter-600x600.png,nevir.es
NVR-4550-IN 9K 1400B,Nevir,Lavadoras ,Gama Blanca ,http://nevir.imagar.com/wp-content/uploads/2021/08/4550-inverter.pdf,Ficha,8427155800996,https://nevir.es/productos/gama-blanca/lavadoras/nvr-4550-in-9k-1400b/,https://nevir.es/wp-content/uploads/2021/08/4550-10inverter-600x600.png,nevir.es
NVR-1112K,Nevir,Hervidores ,Cocina ,http://nevir.imagar.com/wp-content/uploads/2021/08/1112manual.pdf,Manual de Instrucciones,8427155904458,https://nevir.es/productos/pae/cocina/hervidores/nvr-1112k/,https://nevir.es/wp-content/uploads/2021/08/1112K-600x600.png,nevir.es
NVR-5219 CH-100,Nevir,Arcon Congelador ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5219manual.pdf,Manual de Instrucciones,8427155801221,https://nevir.es/productos/gama-blanca/frigorificos/arcon-congelador/nvr-5219-ch-100/,https://nevir.es/wp-content/uploads/2021/08/5219-CH100_close-600x600.png,nevir.es
NVR-5219 CH-100,Nevir,Arcon Congelador ,Frigorificos ,http://nevir.imagar.com/wp-content/uploads/2021/08/5219-100.pdf,Ficha,8427155801221,https://nevir.es/productos/gama-blanca/frigorificos/arcon-congelador/nvr-5219-ch-100/,https://nevir.es/wp-content/uploads/2021/08/5219-CH100_close-600x600.png,nevir.es
